Designator,Mid X,Mid Y,Rotation,Layer
C1,196.68,-52.4,90.0,top
C10,155.59,-85.43,180.0,top
C11,150.35,-74.1,180.0,top
C12,154.17,-60.01,180.0,top
C13,159.28,-48.23,90.0,top
C14,173.87,-51.73,90.0,top
C15,184.44,-62.99,90.0,top
C2,215.12,-50.71,90.0,top
C3,221.29,-61.1,0.0,top
C4,220.24,-74.62,0.0,top
C5,210.89,-95.31,0.0,top
C6,199.51,-107.81,270.0,top
C7,184.0,-113.4,270.0,top
C8,171.1,-103.41,180.0,top
C9,161.63,-90.43,180.0,top
D1,201.77,-47.21,0.0,top
D10,152.15,-80.69,0.0,top
D11,148.055,-66.22,0.0,top
D12,152.08,-53.55,0.0,top
D13,164.53,-43.23,0.0,top
D14,178.95,-48.16,0.0,top
D15,189.36,-58.78,0.0,top
D2,221.06,-46.2,0.0,top
D3,229.1,-60.36,0.0,top
D4,227.53,-77.7,0.0,top
D5,217.88,-93.35,0.0,top
D6,205.05,-107.78,0.0,top
D7,189.06,-118.07,0.0,top
D8,175.53,-109.9,0.0,top
D9,161.1,-95.14,0.0,top
J1,168.04,-77.8,0.0,top
Q1,201.9,-56.48,0.0,top
Q10,160.42,-80.11,0.0,top
Q11,154.89,-70.31,0.0,top
Q12,159.75,-56.51,0.0,top
Q13,165.21,-49.92,0.0,top
Q14,179.48,-55.65,0.0,top
Q15,189.74,-66.69,0.0,top
Q2,220.81,-55.28,0.0,top
Q3,220.81,-66.35,0.0,top
Q4,220.25,-79.44,0.0,top
Q5,210.64,-91.29,0.0,top
Q6,200.01,-100.8,0.0,top
Q7,189.05,-110.08,0.0,top
Q8,178.32,-103.48,0.0,top
Q9,169.03,-93.98,0.0,top
R1,196.45,-61.08,90.0,top
R10,203.21,-83.72,270.0,top
R11,199.88,-92.08,270.0,top
R12,197.3,-92.31,270.0,top
R13,188.75,-101.26,270.0,top
R14,191.59,-101.26,270.0,top
R15,186.24,-101.2,90.0,top
R16,177.74,-98.62,180.0,top
R17,174.3,-92.13,90.0,top
R18,177.13,-91.98,90.0,top
R19,167.42,-87.61,180.0,top
R2,211.34,-51.03,90.0,top
R20,167.47,-85.27,180.0,top
R21,160.56,-71.83,90.0,top
R22,163.17,-71.96,90.0,top
R23,161.0,-65.86,180.0,top
R24,160.99,-63.54,180.0,top
R25,164.92,-57.19,90.0,top
R26,167.19,-57.11,90.0,top
R27,169.74,-57.11,270.0,top
R28,175.94,-59.38,0.0,top
R29,176.03,-61.96,180.0,top
R3,215.66,-59.84,270.0,top
R30,201.69,-64.37,90.0,top
R4,207.83,-60.54,0.0,top
R5,208.09,-63.57,0.0,top
R6,208.14,-66.98,0.0,top
R7,212.85,-74.18,270.0,top
R8,209.42,-74.37,270.0,top
R9,206.49,-83.37,270.0,top
SW1,171.44,-68.67,0.0,top
